Company;Year;Code;TOTAL LIABILITAS
PT Bank Tabungan Negara (Persero) Tbk;2017;32;0
PT BioFarma (Persero);2017;12;6557159
PT Biro Klasifikasi Indonesia (Persero);2017;14;2628328
PT Brantas Abipraya (Persero);2017;36;2974823
PT Danareksa (Persero);2017;7;0
PT Garuda Indonesia (Persero) Tbk;2017;4;13368376
PT Hutama Karya (Persero);2017;37;15578134
PT Indonesia Asahan Aluminium (Persero);2017;23;37463082
PT Industri Kereta Api (Persero);2017;17;5076139
PT Industri Nuklir Indonesia (Persero);2017;13;17941
PT Jasa Marga (Persero) Tbk;2017;38;18987065
PT Kereta Api Indonesia (Persero);2017;50;12248380
PT Krakatau Steel (Persero) Tbk;2017;16;13841951
PT LEN Industri (Persero);2017;15;4015558
PT Pelabuhan Indonesia (Persero);2017;46;32841986
PT Pelayaran Nasional Indonesia (Persero);2017;45;2985523
PT Pembangunan Perumahan (Persero) Tbk;2017;39;29907849
PT Pengembangan Pariwisata Indonesia (Persero);2017;6;500435
PT Perkebunan Nusantara III (Persero);2017;21;14861505
PT Pertamina (Persero);2017;10;234201648
PT Perusahaan Listrik Negara (Persero);2017;11;93851887
PT Pos Indonesia (Persero);2017;49;3878650
PT Pupuk Indonesia (Persero);2017;19;48455634
PT Rajawali Nusantara Indonesia (Persero);2017;20;3352229
PT Reasuransi Indonesia Utama (Persero);2017;24;0
PT Semen Baturaja (Persero) Tbk;2017;35;1123602
PT Semen Indonesia (Persero) Tbk;2017;40;13801819
PT Taspen (Persero);2017;25;0
PT Telekomunikasi Indonesia (Persero) Tbk;2017;8;47561000
PT Waskita Karya (Persero) Tbk;2017;41;52427017
PT Wijaya Karya (Persero) Tbk;2017;42;34910108
